Area;Block
Grottobaai ;13
Gydo ;13
Hagley ;1
Hammanshof ;4
Hawston ;5
Heidelberg ;10
Heiderand ;7
Heilbot ;6
Helderberg Industrial Park ;5
Helios ;10
Hemel & Aarde ;3
Henkries ;10
Herbertsdale ;7
Hermanus ;3
Hermon ;11
Het Kruis ;15
Hex ;4
Hillcrest ;1
Hopefield ;13
Houhoek ;3
Houmoed ;8
Hugo ;4
Infanta ;10
Jagersbos ;3
Jakkalsfontein ;13
Jamestown ;8
Jongensfontein ;7
Joostenbergvlakte ;10
Kakamas ;16
Kalbaskraal ;10
Kalkwerf ;16
Kamieskroon ;10
Kanoneiland ;16
Karatara ;12
Karoo ;10
Karos ;16
Keimoes Munic ;16
Kenhardt ;10
Keurboomstrand ;7
Khayelitsha ;5
Khayelitsha Site C ;1
Killarney Gardens ;14
Killarney Industria ;14
Klaarstroom ;2
Klapmuts ;16
Klawer ;15
Klein Brak ;7
Klein Pella ;16
Kleinbegin ;16
Kleinmond ;2
Klipdale ;10
Klipheuwel ;10
Kliprand ;15
Kliprug ;8
Knysna ;7
Koegas ;16
Koekenaap ;15
Koekoeb ;16
Koelenhof ;8
Komaggas ;10
Koringberg ;3
Kotzehoop ;10
Krantshoek ;7
Krantzkop ;11
Kuilsrivier ;6
Kurland ;7
Kwadouwsberg ;4
Kwaggaskloof ;4
Kwanonqaba ;7
Kylemore ;8
La Motte ;8
Ladismith ;4
Laingsburg ;4
Lambertsbaai ;15
Langebaan ;13
Langefontein ;13
Languedoc ;8
Leeu Gamka ;4
Leeurivier ;13
Leipoldtville ;15
Leliefontein ;10
Loeriesfontein ;10
Lourensford Estate ;5
Loxton ;10
Loxtonvale ;16
Lutzville ;15
Lutzville Wes ;15
Luzuku Park ;1
Lwandle ;5
Lynedoch ;8
Macassar ;8
Macassar Beach ;8
Macassar Village ;8
Malgas ;10
Malibu Village ;1
Malmesbury ;12
Mandalay ;1
Marchand ;16
Marydale ;16
Matroosfontein ;13
McGregor ;10
Meiringspoort ;3
Melkbos Pump Station ;14
Merweville ;4
Mfuleni ;1
Mfuleni (Munic) ;1
Middelpos ;10
Midway ;16
Molsvlei ;15
Montagu ;3
Montague Gardens ;14
Mooidraai ;10
Moorreesburg ;3
Moravia ;15
Mossdustria ;7
Mossel Bay ;7
Moutonsdrift ;10
Mpilo ;5
Muishoek ;10
Muldersvlei ;16
Nababeep ;10
Nabo ;5
Napier ;10
Nature's Valley ;7
Neilersdrift ;16
Nelspoort ;2
Neus ;16
Niekerkshoop ;10
Nieuwoudtville ;15
Nomzano ;5
Noord/Suid Oewer ;10
Noordhoek ;15
Noree ;3
Nuwerus ;15
Nuy ;4
Nyanga ;1
OCC ;10
Okiep ;10
Olyfenhout ;16
Omdraai ;16
Ongegund ;2
Onrusrivier ;5
Ontseepkans ;16
Op die Berg ;13
Osplaas ;4
OTB ;10
Oudtshoorn ;3
Outeniqua Farmers ;3
Paardevlei ;5
Paarl ;9
Padkloof ;16
Paleisheuwel ;15
Panorama ;2
Papendorp ;15
Parklands ;14
Paternoster ;6
Paulputs ;16
Pearly Beach ;3
Pella Estates ;16
Pelladrift ;16
Penhill ;2
Perdeberg Farmers ;10
Perdekop ;8
Philadelphia ;10
Philippi ;1
Philippi East ;1
Philippi Industrial ;1
Piketberg ;15
Pinetown ;5
Plattekloof ;2
Plettenberg Bay ;7
Pniel ;8
Pofadder ;16
Port Beaufort ;10
Porterville ;13
Prieska Munic ;10
Prince Albert ;4
Prince Alfred Hamlet ;13
Pringle Bay ;2
Protem ;10
Proteus farmers ;7
Raap & Skraap ;16
Ravensmead ;13
Rawsonville ;4
Redelinghuys ;15
Remhoogte ;10
Renosterkop ;16
Rheenendal ;12
Riebeek Kasteel ;11
Riebeek Wes ;2
Riet ;3
Rietbron ;2
Rietfontein ;10
Rietpoort ;15
Riverlands ;10
Riversdale ;7
Riverton ;13
Riviersonderend ;10
Robberg ;7
Roberts valley ;8
Robertson ;16
Roggeveld ;4
Rooiels ;2
Rooipad ;16
Rustdal ;15
Rusticana ;4
Ruyterwacht ;13
Sack's Circle ;6
Salberau ;13
Saldanha Bay ;12
Sandhills ;4
Sappi ;15
Saron ;11
Schuitdrift ;16
Scottsdene ;4
Sedgefield ;12
Silversands ;1
Sir Lowry's Pass Village a;nd
surrounding farms ;5
Skuifraam ;8
Slagboom ;13
Slot ;11
Soetendal ;11
Somerset West Business Park ;5
Spine ;5
Springbok ;10
St Helena Bay ;13
Stanford ;3
Starking ;5
Steinkopf ;10
Stellenbosch farmers ;8
Stellenbosch Munic ;2
Steyrkraal ;16
Stikland farmers ;15
Stilbaai ;7
Stofkraal ;15
Stompneus Bay ;13
Storage ;5
Stormsvlei ;10
Strandfontein ;15
Strausburg ;16
Struisbaai ;10
Sun City ;5
Sunningdale ;14
Sutherland ;4
Suurbraak ;10
Swartberg ;4
Swartdraai ;16
Swellendam ;10
Taaiput ;16
Tableview ;14
Teslaarsdal ;3
The Crags ;7
Theewaterskloof ;6
Tierfontein ;10
Touws River ;4
Trans Hex ;10
Transnet Marshalling Yard ;6
Troilapspan ;16
Truter ;16
Tulbagh ;12
Tuscany Glen ;1
Uitdraai ;10
Uitsig ;13
University of Stellenbosch ;2
Upington ;16
Vaalhoek ;16
Valhalla ;13
Van Rhynsdorp ;15
Van Rooisvlei ;16
Van Wyksdorp ;4
Van Wyksvlei ;10
Van Wyksvlei (Northern Cape) ;10
Velddrift ;13
Vergelegen ;5
Vermont ;5
Victor Verster ;8
Viljoenshooppad ;5
Villiersdorp ;4
Vioolsdrif ;10
Vissershok ;14
Vlakte ;1
Vleesbaai ;7
Volop ;16
Voorbaai ;7
Vosburg ;10
Vredenburg ;6
Vredendal ;15
Vryheid Farmers ;10
Vyeboom ;6
Waboomskraal ;3
Waenhuiskrans ;10
Wallacedene ;4
Warmsand ;16
Waterkloof ;5
Wegdraai ;16
Welgelegen ;2
Wellington ;11
Wemmershoek ;8
Wilderness ;12
Williston ;10
Windmeul ;10
Withoogte ;3
Witsand (Northern Cape) ;16
Witsand ;10
Wittedrift ;7
Wittewater ;15
Witzenberg ;13
Wolseley ;12
Wolseley Farmers ;12
Wolwedans ;6
Woodville ;12
Worcester ;11
Wupperthal ;15
Yzerfontein ;13
Zandberg ;15
Zoar ;4
